ordinal	source_sha	responsible_owner	source_subject	disposition	target_impact	evidence	status	follow_up
31	378807eabb39cecc25ea801494053f8aa20feafa	product-owner:tightbeam	test: assert the durable fallback cause explicitly (Sol confirmation, important)	OMIT	Patch-equivalent regression proof is on main	git-cherry minus; main:3e0c510	COMPLETE	none
32	8f22fe8c0b84f6cc5e1ff646168e30f11761ef7e	product-owner:tightbeam	INCIDENT part 2: the circuit does not gate credential installation	OMIT	Patch-equivalent circuit repair is on main	git-cherry minus; main:d3b6cb4	COMPLETE	none
33	af4c1465745f8321072ca311715b8c084a729db8	product-owner:tightbeam	Release tooling cuts candidates from protected 0.1.x, not main	OMIT	0.1 release-candidate mechanics are line-only	source-line-only release workflow	COMPLETE	none
34	2b8d9ddc0812025b0e4447dfed23dcae95c6a2d1	product-owner:tightbeam	Point the release-candidate test fixture at protected 0.1.x	OMIT	0.1 release-candidate fixture is line-only	source-line-only test	COMPLETE	none
35	42ecc824b48da473888ac7e6b1f2dbdb86fad9d9	product-owner:tightbeam	Proof workflow writes the manifest outside the worktree	OMIT	Retired 0.1 release-candidate proof is line-only	source-line-only workflow	COMPLETE	none
36	becb13072624fce1129cfce377882bc2fb647cb8	product-owner:tightbeam	Bump Tightbeam patch release to 0.1.8	OMIT	0.1 version bump has no 0.2 target effect	source-line-only version	COMPLETE	none
37	5ae9f10d4c3301270724a895e377cd4cda445a48	product-owner:tightbeam	Add host toolchain PATH registry	OMIT	Current main has host facts and the host-toolchain mutation seam	main:42f976b0; current host-toolchain-set	COMPLETE	none
38	29cd8082fc7cf3b4c5c05d14c191f542bd7999b6	product-owner:tightbeam	fix: assign/dispatch refuse a role with no live holder	OMIT	Office addressing replaces refusal with recorded fallback semantics	current assignments role fallback; operating manual	COMPLETE	none
39	dd1b77f27dbd4fe642ec491eb04a4ce57cd6359b	product-owner:tightbeam	Merge origin/0.1.x into toolchain PATH branch	OMIT	Merge topology only; row 37 governs product meaning	merge parents; constituent row 37	COMPLETE	none
40	d18fe7b2e7b9f8a48cebf7147c75b578f69bbde6	product-owner:tightbeam	Resolve the active 0.1 branch numerically	USE AS-IS	Shared tooling must choose the highest active 0.1 branch numerically	source diff and tests	PLANNED	plan:Required target work item 5
41	dd0e997220cb2b23f9da503e983e47c5cb2b7eaa	product-owner:tightbeam	docs: define per-version maintenance release convention	OMIT	0.1 release convention is line-only	source-line-only docs	COMPLETE	none
42	e39fcdeeafafd742b09ac565bde90e8e9ebb52e0	product-owner:tightbeam	Test missing maintenance branch refusal	OMIT	0.1 release-branch refusal is line-only	source-line-only test	COMPLETE	none
43	eda754c3bef9bef88dd9fafdfafad7755195a424	product-owner:tightbeam	docs: supersede retired candidate procedure	OMIT	0.1 release procedure is line-only	source-line-only docs	COMPLETE	none
44	87f24de1410f750285571a1a6c9c6c2d00dd63ef	product-owner:tightbeam	Merge remote-tracking branch 'refs/remotes/origin/0.1.9' into docs/branch-convention	OMIT	Merge topology only; rows 33-43 govern	merge parents; constituent rows	COMPLETE	none
45	ab6304dd2fd664772dcfda773f5a26b128d0650e	product-owner:tightbeam	Complete test-receipt review handoff proof	OMIT	This proof belongs to retired 0.1 release procedure	source-line-only release proof	COMPLETE	none
46	5f9cddfe5156eafa4b898fd9ff6c137fa80e2a18	product-owner:tightbeam	Merge release documentation into 0.1.9	OMIT	Merge topology only; rows 41-45 govern	merge parents; constituent rows	COMPLETE	none
47	3fd9c97797cf559d016d7dc5223d9a2d4953992b	product-owner:tightbeam	fix: wire operator-ask/-rule/-withdraw through the router seam (gh#11)	OMIT	Current main routes the operator verbs through the fabric router	main:d98ff939,e02cab00; current router inventory	COMPLETE	none
48	6fd5e2a64477346f65c68257108e70f8f9310053	product-owner:tightbeam	test: assert the router-seam refusal shapes for the operator verbs (gh#11 review)	OMIT	Current main has router and terminal-decision refusal coverage	main current router and decision tests	COMPLETE	none
49	0ebe32623fe42020d25977798c14ca7a50d6bbd0	product-owner:tightbeam	fix: decision-requests --status all returns empty (Escalation.list literal-all filter)	OMIT	Current main contains the literal-all fix	main:85a3abc4	COMPLETE	none
50	1ea30f54f2c473a1df828354b58309249c3250c0	product-owner:tightbeam	test: prove decision-requests --status filter through /agent/dispatch (review F1)	OMIT	Current main covers status filtering through its current dispatch surface	main decision-request CLI and router tests	COMPLETE	none
51	7cc3646188181e0d874386bf037a4328b475d400	product-owner:tightbeam	feat: /version states which bytes the gateway is (version + build stamp)	OMIT	Patch-equivalent version identity is on main	git-cherry minus; current /version	COMPLETE	none
52	fa47a0033b0bc9a2fad75eece34cb8cd197ef3bc	product-owner:tightbeam	fix: keep runtime serving during phased onboarding	OMIT	Patch-equivalent phased-onboarding behavior is on main	git-cherry minus; current ceremonies	COMPLETE	none
53	b665614666ade96eeb26b37c0caf7507e83b3774	product-owner:tightbeam	fix: replace runtime after staged credential install	OMIT	Patch-equivalent runtime replacement is on main	git-cherry minus; current ceremonies	COMPLETE	none
54	d6affe042c2de59b560559f505a4af2094423fc0	product-owner:tightbeam	fix: harvest a rotated home credential on a subscription 401	OMIT	Patch-equivalent rotation recovery is on main	git-cherry minus; main:093360fc	COMPLETE	none
55	6c21c4fcbdcc383c9ba39cf56f20f3b8f5f3ea74	product-owner:tightbeam	refactor: tidy rotation-harvest retry after review	OMIT	Patch-equivalent retry refactor is on main	git-cherry minus; main:dad26e8a	COMPLETE	none
56	48ddd017c83348f8f2bd4f2a294e51af11c17bfd	product-owner:tightbeam	test: cover subscription rotation recovery admission	OMIT	Patch-equivalent rotation proof is on main	git-cherry minus; main:a8c7913f	COMPLETE	none
57	acff16d5430a8435e68bf2f9d7f57ff00b49e2e1	product-owner:tightbeam	fix: harvest a rotated home credential on a subscription 401	OMIT	Patch-equivalent accepted rotation fix is on main	git-cherry minus; main current credential recovery	COMPLETE	none
58	398d7efd8c7cddaa454dc9d6489e0b6c86977454	product-owner:tightbeam	refactor: tidy rotation-harvest retry after review	OMIT	Patch-equivalent accepted refactor is on main	git-cherry minus	COMPLETE	none
59	0a0c7907dff820d5d75328af5257864a5b1ca4b3	product-owner:tightbeam	test: cover subscription rotation recovery admission	OMIT	Patch-equivalent accepted proof is on main	git-cherry minus	COMPLETE	none
60	920dd79ae7fcd50835580a2ea89fd79d569c0424	product-owner:tightbeam	docs: add rotation gate CLI prerequisite	OMIT	Patch-equivalent prerequisite is on main	git-cherry minus	COMPLETE	none
61	3449316b978770244fd386ac8cd5c98a52b3cc66	product-owner:tightbeam	fix: preserve subscription 401 after failed rotation retry	OMIT	Patch-equivalent retry-state preservation is on main	git-cherry minus	COMPLETE	none
62	8d979963add80b55cdd05271acafc9038dc1d115	product-owner:tightbeam	docs: close rotation recovery review findings	OMIT	Patch-equivalent review closure is on main	git-cherry minus	COMPLETE	none
63	e4f4614dd1cb75e15ba8093a850adbeb9ccb6285	product-owner:tightbeam	fix: report both rotation retry failures	OMIT	Patch-equivalent dual-failure report is on main	git-cherry minus	COMPLETE	none
64	6772b88a9b7c384705a9b64046a48f1e8a44115a	product-owner:tightbeam	Merge remote-tracking branch 'origin/0.1.9' into coder/execution-observability-v1	OMIT	Merge topology only; execution rows 25 and 66-74 govern	merge parents; constituent rows	COMPLETE	none
65	87eb387b2747d5a2b8870158e5e39fbd95e97954	product-owner:tightbeam	Make shipped spec homing location-neutral	OMIT	Patch-equivalent spec homing is on main	git-cherry minus; main:a18d8b3	COMPLETE	none
66	23d6681b3c551e8e00bbfdfd64049d8a2eef7ddc	product-owner:tightbeam	fix(execution): preserve detached command evidence	RETHINK	Mine detached-command evidence into owned process custody	source diff; depends on row 25	DESIGN-REQUIRED	plan:Required target work item 5
67	41b42070ae57344dcd2ebe0630fbc5d55b40b3e0	product-owner:tightbeam	test(execution): prove review failure windows	RETHINK	Retain failure-window fixture for process custody	source test; depends on rows 25,66	DESIGN-REQUIRED	plan:Required target work item 5
68	69a80cbe1fb331b3e209cff274acc630c5f1f7cb	product-owner:tightbeam	fix(execution): reset inherited child disposition	RETHINK	Represent child disposition on the owned process row	source diff; depends on row 25	DESIGN-REQUIRED	plan:Required target work item 5
69	9b62a7ca82a885d32e87876d0500d94779f3f40c	product-owner:tightbeam	fix(execution): isolate receipt projection errors	RETHINK	Mine projection-error evidence into process custody	source diff; depends on row 25	DESIGN-REQUIRED	plan:Required target work item 5
70	54cf663b3218357e28fbd5305af6c7c5b4456789	product-owner:tightbeam	fix(execution): validate terminal status receipts	RETHINK	Make terminal custody status validate the receipt	source diff; depends on row 25	DESIGN-REQUIRED	plan:Required target work item 5
71	dc7d5957c9a62142b2175a127f1f2e42d3525203	product-owner:tightbeam	test(execution): cover receipt poison matrix	RETHINK	Retain receipt-poison matrix as custody acceptance	source test; depends on rows 25,66-70	DESIGN-REQUIRED	plan:Required target work item 5
72	b0298a379c5c62a4f698e20cd7533986ada618f0	product-owner:tightbeam	fix(schema): bootstrap command executions	RETHINK	Derive owned process-row activation from current schema	source diff; depends on row 25	DESIGN-REQUIRED	plan:Required target work item 5
73	16e4ccd9a7017970f8e3acbbf35ad57abf2536e8	product-owner:tightbeam	Merge remote-tracking branch 'origin/0.1.9' into coder/command-execution-schema-registration	OMIT	Merge topology only; rows 25 and 66-72 govern	merge parents; constituent rows	COMPLETE	none
74	53837b1154be9c1ade665b7a76019260afd8d0a6	product-owner:tightbeam	test(schema): pin command execution registration	RETHINK	Retain activation registration proof for custody design	source test; depends on rows 25,66-72	DESIGN-REQUIRED	plan:Required target work item 5
75	0e539b0bdfdf5514bca924171bf55b5daa374289	product-owner:tightbeam	onboard: add machine-readable sign-in delivery module (wi_0535922b)	OMIT	Patch-equivalent sign-in delivery is on main	git-cherry minus; current onboard_emit	COMPLETE	none
76	fe3160a70a3776beec899f2027e2a9265346c33d	product-owner:tightbeam	onboard: emit sign-in URL + one-time code as first-class deliverables (wi_0535922b)	OMIT	Patch-equivalent first-class delivery is on main	git-cherry minus; main:eac6c764	COMPLETE	none
77	708d9d18dd4b9c67a49b7933d09a0dbd9992f6ef	product-owner:tightbeam	feat: add harness-aware health incidents	OMIT	Current main has the stronger classed harness-health system	main:df83d941 and current HarnessHealth	COMPLETE	none
78	c57c1903f738c46b2519356f91c1c41d82136193	product-owner:tightbeam	Add GitHub auth onboarding and guard	REFACTOR+APPLY	Re-home GitHub authentication in target credential and policy seams	source diff; credential-kinds-v1	PLANNED	plan:Required target work item 5
79	5ff468cfd4e4f43a22412bea1b0a9a4d7be259cb	product-owner:tightbeam	Bank GitHub auth file-backed where agents can read it	REFACTOR+APPLY	Preserve GitHub auth but replace the file-bank ownership assumption	source diff; depends on row 78; credential-kinds-v1	PLANNED	plan:Required target work item 5
80	d04f9abcf3cb6139ebb5a26bba35313dcdb9eb28	product-owner:tightbeam	Pin probes to the banked store, scrub every remote, bound the probes	REFACTOR+APPLY	Preserve bounded scrubbed probes through the elected credential store	source diff; depends on rows 78-79	PLANNED	plan:Required target work item 5
81	c44e1dda98a310ab01afdb6ce7b1aaf64a2e86bf	product-owner:tightbeam	Judge only the command field, blind to quotes, deaf to page URLs	REFACTOR+APPLY	Move the Git network-operation guard into named policy law	source diff; depends on row 78	PLANNED	plan:Required target work item 5
82	12442218bf7d0d7a6db14a1e2a69f3e8ee02327e	product-owner:tightbeam	Extract the gateway-side GitHub brain into Tightbeam.GithubAuth	REFACTOR+APPLY	Retain the GitHub gateway brain behind target seams	source diff; depends on row 78	PLANNED	plan:Required target work item 5
83	91e56c9ab919c4f7be41f5765c27452a53f70e91	product-owner:tightbeam	Split the GitHub CLI code by concern	REFACTOR+APPLY	Retain CLI separation while adapting current CLI	source diff; depends on rows 78,82	PLANNED	plan:Required target work item 5
84	fd2dd6c299a057911214c65f098447ac2552795c	product-owner:tightbeam	Hold both brains to the same contract	REFACTOR+APPLY	Preserve shared gateway and CLI contract	source tests; depends on rows 82-83	PLANNED	plan:Required target work item 5
85	4fd486e1befbb2189614206e51aa004eabad51f3	product-owner:tightbeam	Align the API-failure classifiers across both brains	REFACTOR+APPLY	Preserve aligned failure classes	source diff/tests; depends on rows 82-84	PLANNED	plan:Required target work item 5
86	240880d725adad7059df56ab9b7862b907895fda	product-owner:tightbeam	fix(github-auth): name readiness refusal context	REFACTOR+APPLY	Preserve named readiness refusal context	source diff/tests; depends on rows 78-85	PLANNED	plan:Required target work item 5
87	f3f2595b9eca0c5bc0f111b649790c8252ee05af	product-owner:tightbeam	test(github-auth): add real-cli fixture e2e	REFACTOR+APPLY	Retain captured real-CLI contract evidence	source fixture/test; depends on rows 78-86	PLANNED	plan:Required target work item 5
88	10cde3dca4d599e9f4e8aba25b490a3a6a982269	product-owner:tightbeam	style: format placement github test	REFACTOR+APPLY	Carry the corrected test bytes with the GitHub auth regression floor	source test; depends on row 87	PLANNED	plan:Required target work item 5
89	f407b86b0c3998d9450e801db7785bb6e9dfc7f9	product-owner:tightbeam	Merge remote-tracking branch 'origin/0.1.9' into coder/harness-health-patrol-v1-019	OMIT	Merge topology only; rows 77 and 90 govern health behavior	merge parents; constituent rows	COMPLETE	none
90	1416ef66a2a9ac37ae7d001daa83dfeee1930212	product-owner:tightbeam	fix: deliver auth incident blockers	OMIT	Current main classed harness-health delivery is stronger	main current HarnessHealth and delivery tests	COMPLETE	none
91	e75b8ce28d49bc986b8097d42e1fee7b62580238	product-owner:tightbeam	Prove the OpenAI tee delivery path with fixture-backed tests	OMIT	Patch-equivalent tee proof is on main	git-cherry minus; main:98a2cd00	COMPLETE	none
92	53c57d24eb96a720aaa131b9b9ab108be41e9e65	product-owner:tightbeam	Merge current 0.1.8 into PR20 candidate	OMIT	Merge topology only; GitHub auth rows 78-88 and 94-99 govern	merge parents; constituent rows	COMPLETE	none
93	44a2b04bd61645d68108b3f8a64223084b3ef1ae	product-owner:tightbeam	fix: preserve terminal outage evidence	OMIT	Current main preserves stronger terminal harness-health evidence	main current HarnessHealth and ledger	COMPLETE	none
94	6a6027aa4de500755d81a9b531f60d3ffeada946	product-owner:tightbeam	Fix GitHub auth review gaps	REFACTOR+APPLY	Carry reviewed GitHub auth corrections through target seams	source diff/tests; depends on rows 78-88	PLANNED	plan:Required target work item 5
95	4fc02e308c665e3ac6c02e14abb212b84ba818d1	product-owner:tightbeam	Narrow GitHub hook to network Git verbs	REFACTOR+APPLY	Preserve network-verb scope in named policy law	source diff/tests; depends on row 81	PLANNED	plan:Required target work item 5
96	f516fc3ec20e497822ca01313a9e303e0eba5733	product-owner:tightbeam	Bound the operator wake to the lease, refuse delivery collisions, prove drift fallback	REFACTOR+APPLY	Preserve lease and delivery-collision invariants	source diff/tests; depends on rows 78-95	PLANNED	plan:Required target work item 5
97	c1f71c72d3d8c0bef5f85a30d4dd9a0149bd0ddc	product-owner:tightbeam	Merge current 0.1.8 into PR20 candidate	OMIT	Merge topology only; GitHub auth rows govern	merge parents; constituent rows	COMPLETE	none
98	61d38e800b1264e743d04aedc16e3854d237c499	product-owner:tightbeam	feat(assignments): make file lists advisory	OMIT	Current main has advisory assignment file lists	main:53130652; current assignment tests	COMPLETE	none
99	60bda7eb1771a7d240a51d9277adff96f666ee5e	product-owner:tightbeam	Close remaining GitHub auth review gaps	REFACTOR+APPLY	Carry final reviewed GitHub auth closures through target seams	source diff/tests; depends on rows 78-96	PLANNED	plan:Required target work item 5
100	b8d8ef8280c9930fc9474d0b5f46f8c73bff03dd	product-owner:tightbeam	Reject host metadata in package archives	USE AS-IS	Add archive metadata purity refusal and tests to current packaging	source diff; target lacks packaging/purity-check.sh	PLANNED	plan:Required target work item 1
101	a87d3003820faa0cce07eadd280f46f6b0830a98	product-owner:tightbeam	guidance: apply MVP threshold to spec and review	OMIT	Source line later removed this guidance; current main owns its policy	source rows 127,133; main:f01651da	COMPLETE	none
102	45a7f3f4892ce992f7c30dfecb157ffe1d90998b	product-owner:tightbeam	Report corrupt credentials after Darwin ps failure	REFACTOR+APPLY	Re-home credential-health report and preserve Darwin collection failure semantics	source diff/tests; target probe lacks credential_health	PLANNED	plan:Required target work item 2
103	f759e7b7056be0ae0e6c3a68654840058f7b5f35	product-owner:tightbeam	guidance: coordinate related work and protect shipped assets	OMIT	Equivalent guidance and artifact protections are on main	main:6dda4a79 and artifact carrier chain	COMPLETE	none
104	c1332660934e243b50053b878e27e8d4253d4fd1	product-owner:tightbeam	Merge 0.1.8 into 0.1.9 reconciliation	OMIT	Merge topology only; rows 100-103 and 105-126 govern	merge parents; constituent rows	COMPLETE	none
105	a284784f5c6f6e01316ca40c73bd2ac4b83a875f	product-owner:tightbeam	Fix merged model catalog formatting	OMIT	Line-merge formatting repair has no distinct target behavior	one-line source merge repair; current main catalog	COMPLETE	none
106	276487abc6baf29d8039fb648348c5cc14c41356	product-owner:tightbeam	Track doctor probe provider consumer	REFACTOR+APPLY	Add the doctor consumer to current provider-literal audit	source diff; depends on row 102	PLANNED	plan:Required target work item 2
107	4dff5f55fa14574bdc4ce374deea02674a7916c4	product-owner:tightbeam	Make command execution fixture host-portable	RETHINK	Retain host-portable executable lookup in the custody fixture	source test; depends on execution rows 25,66-74	DESIGN-REQUIRED	plan:Required target work item 5
108	0317030c1297ce59647f3a387ceaa33a6ebd0096	product-owner:tightbeam	docs: bwrap/userns prerequisite for Linux hosts, and the per-binary AppArmor fix	OMIT	Patch-equivalent host prerequisite guidance is on main	git-cherry minus; main:4b8aaeee	COMPLETE	none
109	67792357b63c6e4ef678c79a7751aabcf59c0062	product-owner:tightbeam	Restore public rule compatibility after line merge	REFACTOR+APPLY	Re-home rule interpolation and compatibility fixes in current rule engine	source diff/tests; current main rule engine	PLANNED	plan:Required target work item 3
110	78a858c2eed8e4f0e6bc8634ec68de84964af355	product-owner:tightbeam	Make public rule compatibility history-complete	REFACTOR+APPLY	Make current public-rule audit inspect full reachable history	source diff; target verifier checks only HEAD parent	PLANNED	plan:Required target work item 3
111	ccb94a599e51aa5534eba84da4e8171db4af2504	product-owner:tightbeam	Cover merged side-branch rule facts	REFACTOR+APPLY	Retain merge-side rule-fact regression coverage	source test; depends on rows 109-110	PLANNED	plan:Required target work item 3
112	1d248fe9f163edb1da37f956f65852745c8cc931	product-owner:tightbeam	Replay artifact custody onto repaired 0.1.8	OMIT	Current main has stronger artifact carrier, custody rule, and turn binding	main:6acc927b,ffc6de2e,4d113f79	COMPLETE	none
113	0899667bb6ccc38f7d271e859644fbbb9072d482	product-owner:tightbeam	guidance: codex/sol is prime for coding, review, spec, and spec review	OMIT	Source effect was reverted by row 114	source add/revert pair 113-114	COMPLETE	none
114	05068b8d3479d13269261542d5079504f854602f	product-owner:tightbeam	Revert "guidance: codex/sol is prime for coding, review, spec, and spec review"	OMIT	Revert completes a net-zero source sequence	source add/revert pair 113-114	COMPLETE	none
115	6924bbd798336cdc1239ad88f446210421070420	product-owner:tightbeam	Merge current 0.1.8 into artifact custody candidate	OMIT	Merge topology only; row 112 governs custody	merge parents; constituent row 112	COMPLETE	none
116	e587c2c04f3ccb954f9efad9130a2ca55f6346e5	product-owner:tightbeam	Cancel interrupted onboarding leases	OMIT	Current main has stronger bounded interruption and lease cancellation	main current ceremonies and child_process tests	COMPLETE	none
117	c1b0274253ee8c37f9f19d2b8f7fc3df0ca447cd	product-owner:tightbeam	Enforce inner ceremony regression result	OMIT	Current main's supervised ceremony contract subsumes the check	main current ceremonies and child_process tests	COMPLETE	none
118	de711b59e210fb9299bed9476ce8c8602d1f1d59	product-owner:tightbeam	feat(schema): migrate 0.1.7 databases to 0.1.8	OMIT	Legacy 0.1 database migration is line-only	source-line-only schema migration	COMPLETE	none
119	ae0d5a4b1bb05156dfef694ae6131db1b30ab0fe	product-owner:tightbeam	fix(schema): distinguish migration copies from request creation	OMIT	Legacy 0.1 migration correction is line-only	source-line-only schema migration	COMPLETE	none
120	0c88e9e862eda4fe6f3f0b6615e11f36661f7320	product-owner:tightbeam	fix(schema): migrate legacy message envelopes	OMIT	Legacy 0.1 message migration is line-only	source-line-only schema migration	COMPLETE	none
121	9bb49dd896c898c3ea8d609916d86e5cb7235cbe	product-owner:tightbeam	fix(schema): preserve message foreign keys during upgrade	OMIT	Legacy 0.1 upgrade correction is line-only	source-line-only schema migration	COMPLETE	none
122	6b8b274ba62af9c50cb8d861a90c8a0871657344	product-owner:tightbeam	fix: accept exited Darwin group after forwarded TERM	OMIT	Current main has stronger waitable-child and Darwin EPERM handling	main:ffd25a7a and current child_process	COMPLETE	none
123	93f9709e87b4efa17bd97fcbc44a8504329082bf	product-owner:tightbeam	fix: accept build-qualified release tags	OMIT	0.1 release-tag policy is line-only	source-line-only release validation	COMPLETE	none
124	4af89039dbb55291383a657ef28700b1acd8122f	product-owner:tightbeam	docs: release assets are build-suffixed; note the manually published v0.1.8+1325	OMIT	0.1 release record is line-only	source-line-only release docs	COMPLETE	none
125	98fbe5276a8ef7e67e39f24edb64c46462326ce0	product-owner:tightbeam	Merge 0.1.7 database migration into 0.1.8	OMIT	Merge topology only; rows 118-121 govern	merge parents; constituent rows	COMPLETE	none
